height,width,label
297,1374,11
177,837,12
137,1296,10
154,260,15
45,174,5
96,1017,4
239,1159,13
281,1261,13
101,1204,13
131,779,1
171,1148,5
228,1172,13
304,994,5
102,613,14
127,782,1
197,957,6
295,1371,11
258,524,4
252,787,5
188,290,3
211,971,6
27,1258,10
147,265,15
256,1170,13
40,118,7
234,549,5
244,1152,13
291,340,7
66,758,12
149,267,15
178,213,1
183,48,9
143,1049,5
70,1277,10
107,612,14
308,1849,10
96,1015,4
201,952,6
169,291,15
165,272,3
157,282,15
113,607,14
252,1173,13
68,1279,10
301,1374,11
15,596,9
327,1878,10
108,602,14
193,955,6
186,294,3
42,1626,4
238,1358,11
163,276,3
109,1793,9
274,396,8
8,1347,9
213,971,6
272,118,4
259,66,1
150,258,15
225,1844,9
195,971,6
150,264,15
250,869,4
39,1298,11
45,170,5
285,772,9
294,1836,10
69,1277,10
260,66,1
296,1834,10
70,1868,7
172,1071,8
115,599,14
329,185,7
168,276,3
280,1257,13
70,1276,10
163,279,3
67,1278,10
250,221,7
174,1022,1
39,322,7
248,1855,9
8,1813,2
99,1180,4
327,470,7
295,1833,10
76,704,2
329,184,7
283,554,7
179,1344,11
328,1053,4
16,598,9
163,1002,8
45,171,5
298,1372,11
146,265,15
249,220,7
157,505,8
172,1030,6
155,256,15
254,1169,13
165,288,15
260,71,1
247,1151,13
151,254,15
159,504,8
73,1270,10
278,1326,2
106,615,14
158,504,8
251,1256,12
174,1148,5
258,73,1
254,1170,13
221,1175,13
173,1030,6
182,291,3
82,1841,7
308,493,7
59,1743,8
202,955,6
238,1160,13
249,1854,9
283,553,7
307,1147,12
275,1326,2
175,284,3
165,277,3
16,597,9
68,1277,10
130,779,1
172,276,3
333,983,5
10,767,1
67,538,12
304,1197,2
8,769,1
310,1216,2
99,1015,4
224,1844,9
212,24,9
250,1165,13
43,1299,11
150,260,15
111,604,14
290,442,7
231,1816,8
208,428,4
199,957,6
281,711,7
68,756,12
212,23,9
52,1847,4
154,280,15
310,1720,9
179,1345,11
291,339,7
199,956,6
185,290,3
177,284,3
43,1626,4
175,1027,6
8,1817,2
240,1162,13
178,212,1
124,556,9
129,518,8
225,1845,9
29,1257,10
196,974,6
110,604,14
269,1786,10
166,271,3
327,1053,4
77,703,2
130,782,1
119,605,14
148,266,15
75,1269,10
43,1627,4
105,619,14
41,544,2
249,221,7
148,1837,8
320,167,2
110,601,14
15,889,8
332,984,5
68,537,12
246,1166,13
244,953,4
291,321,4
87,743,12
221,1172,13
172,1020,1
258,522,4
201,1055,8
183,461,2
252,1170,13
51,1847,4
41,40,7
190,1311,10
84,155,8
108,615,14
45,934,4
297,1372,11
274,1328,2
183,289,3
306,1149,12
128,783,1
241,1160,13
306,1146,12
199,955,6
169,281,3
146,266,15
153,260,15
229,1353,11
147,262,15
153,263,15
208,970,6
60,124,7
166,289,15
255,1163,13
135,1294,10
225,66,7
146,263,15
200,521,9
184,291,3
221,1258,12
211,24,9
179,212,1
164,274,3
45,933,4
78,705,2
247,1167,13
199,951,6
246,1151,13
42,1627,4
211,1126,1
333,751,7
268,688,12
67,722,9
109,658,1
43,935,4
156,282,15
328,184,7
107,817,2
103,616,14
169,280,3
151,268,15
149,260,15
150,262,15
285,1445,11
8,1819,2
267,691,12
260,522,4
223,1175,13
130,780,1
327,1879,10
85,156,8
313,1423,11
100,104,9
252,1165,13
76,1267,10
255,67,1
175,1021,1
191,728,12
171,1019,1
59,125,7
222,1236,12
282,1093,8
98,1205,13
15,597,9
84,1251,12
97,1015,4
153,255,15
294,1373,11
152,278,15
253,1162,13
237,1358,11
166,278,3
9,1818,2
311,1216,2
23,550,2
104,618,14
295,78,2
166,279,3
66,721,9
69,930,8
118,603,14
145,264,15
244,1195,9
198,952,6
72,237,8
234,1356,11
191,954,6
8,771,1
290,322,4
205,963,6
203,966,6
201,955,6
309,1848,10
74,1269,10
9,1814,2
6,1700,11
266,1787,10
243,1152,13
250,219,7
267,690,12
300,1374,11
331,751,7
182,1346,11
9,1811,2
168,288,15
306,1850,10
219,1260,12
128,782,1
106,622,14
176,1027,6
157,506,8
19,57,4
40,323,7
230,1353,11
299,195,2
206,354,2
293,80,2
255,68,1
216,540,5
153,280,15
210,26,9
97,1181,4
157,849,12
181,289,3
204,355,2
256,1171,13
196,976,6
201,522,9
109,617,14
223,823,5
305,1078,8
245,1151,13
212,1125,1
255,1171,13
322,1015,5
197,974,6
40,40,7
6,768,1
266,689,12
181,291,3
218,541,5
220,1260,12
239,1161,13
281,1258,13
47,174,5
309,1847,10
68,745,12
251,1258,12
86,743,12
184,1346,11
221,60,7
186,291,3
84,1252,12
62,1120,6
180,210,1
205,39,7
243,951,4
78,704,2
236,1355,11
184,1347,11
150,265,15
181,1346,11
316,1012,5
130,781,1
100,1179,4
248,723,4
60,125,7
279,1258,13
151,909,8
257,70,1
69,1279,10
108,818,2
114,602,14
172,292,15
198,977,6
333,985,5
271,119,4
40,1298,11
297,1835,10
168,278,3
223,1235,12
270,14,7
267,1788,10
329,1217,8
245,1150,13
139,1297,10
240,1154,13
103,613,14
178,286,3
251,1169,13
307,1847,10
148,261,15
326,978,5
309,1849,10
220,1173,13
238,1355,11
77,704,2
106,614,14
305,995,5
167,271,3
229,1354,11
84,1250,12
152,259,15
179,284,3
261,405,12
214,1128,1
188,354,2
284,1093,8
107,620,14
108,622,14
72,236,8
179,287,3
226,1843,9
50,1845,4
28,1259,10
276,1324,2
155,257,15
178,287,3
85,743,12
105,612,14
41,324,7
223,1174,13
287,1441,11
164,287,15
305,1077,8
184,462,2
238,1357,11
187,976,4
86,156,8
107,624,14
180,213,1
83,1842,7
239,1355,11
41,325,7
8,768,1
258,67,1
152,258,15
176,284,3
250,1257,12
108,658,1
325,1878,10
268,690,12
168,289,15
298,194,2
327,1217,8
131,783,1
184,1345,11
107,614,14
307,493,7
306,1078,8
170,277,3
325,978,5
321,1017,5
86,742,12
299,1372,11
311,1218,2
220,1259,12
114,600,14
42,1298,11
223,686,12
228,1355,11
244,289,9
189,1310,10
61,1122,6
60,1743,8
112,601,14
116,599,14
85,741,12
173,292,15
227,1843,9
282,1092,8
205,968,6
177,286,3
167,277,3
110,609,14
249,1259,12
236,1358,11
58,210,5
329,472,7
47,173,5
289,322,4
182,290,3
129,517,8
240,1152,13
290,323,4
333,984,5
171,71,7
167,897,8
41,1299,11
222,825,5
72,1268,10
240,1161,13
183,286,3
152,266,15
198,951,6
81,1250,12
215,334,2
44,1299,11
183,290,3
17,594,9
109,623,14
30,1258,10
205,965,6
162,277,3
211,1124,1
258,72,1
248,722,4
305,1850,10
120,605,14
195,975,6
180,289,3
115,605,14
168,290,15
314,1422,11
213,968,6
62,210,5
20,59,4
173,1018,1
147,261,15
341,1182,8
324,977,5
75,1270,10
129,778,1
148,1836,8
69,536,12
111,603,14
219,61,7
200,954,6
42,39,7
299,1374,11
234,1354,11
221,1260,12
157,257,15
329,1219,8
205,967,6
208,972,6
226,1173,13
274,1326,2
278,1258,13
222,1173,13
329,1052,4
298,1375,11
223,1236,12
306,992,5
68,446,4
9,768,1
182,286,3
28,520,12
227,1172,13
65,1278,10
313,1253,9
186,293,3
295,1832,10
231,1355,11
162,278,3
185,1347,11
197,975,6
328,1217,8
214,1127,1
321,1018,5
149,908,8
328,216,9
171,1071,8
166,399,1
107,615,14
139,1294,10
165,280,3
251,1165,13
305,1149,12
235,551,5
62,1122,6
149,259,15
260,523,4
310,1217,2
149,266,15
218,542,5
219,1259,12
60,126,7
261,407,12
314,1010,5
116,604,14
300,1372,11
72,1269,10
295,1373,11
197,956,6
224,1196,9
221,1173,13
190,727,12
97,1204,13
226,1174,13
257,69,1
197,973,6
94,360,8
322,1018,5
112,602,14
211,968,6
99,1203,13
107,623,14
44,1627,4
226,1844,9
168,282,3
283,1093,8
195,957,6
42,1299,11
284,566,7
183,46,9
183,288,3
105,617,14
321,1016,5
203,1055,8
152,254,15
331,749,7
254,1163,13
99,1018,4
102,1203,13
41,322,7
167,896,8
153,259,15
172,277,3
144,1049,5
101,1205,13
331,986,5
255,1164,13
265,691,12
186,1346,11
295,80,2
306,1849,10
14,594,9
143,239,12
278,1328,2
43,1298,11
258,70,1
177,213,1
171,72,7
20,57,4
191,1310,10
261,559,7
14,598,9
246,1150,13
168,280,3
131,778,1
326,1054,4
117,602,14
58,211,5
330,216,9
209,23,9
10,1816,2
156,850,12
304,1146,12
306,1076,8
138,1294,10
73,237,8
9,771,1
186,290,3
165,274,3
179,209,1
272,1008,2
86,155,8
68,758,12
285,566,7
172,275,3
241,1159,13
180,290,3
110,622,14
191,953,6
173,286,3
59,88,7
244,1194,9
212,1124,1
165,287,15
276,1327,2
223,826,5
110,656,1
62,1743,8
269,15,7
172,72,7
187,292,3
298,813,9
201,953,6
150,255,15
224,686,12
105,650,2
71,1279,10
7,770,1
151,263,15
196,957,6
9,1346,9
172,1145,5
67,447,4
213,1128,1
174,1031,6
282,711,7
109,622,14
10,1818,2
63,1122,6
184,290,3
282,712,7
208,427,4
166,287,15
109,603,14
203,246,2
234,550,5
67,721,9
186,289,3
107,618,14
38,1297,11
225,1172,13
252,869,4
255,1168,13
57,88,7
222,1174,13
145,240,12
42,38,7
280,1258,13
186,1345,11
201,954,6
219,60,7
266,688,12
244,1272,12
65,719,9
64,1122,6
328,1055,4
98,1179,4
111,656,1
144,238,12
213,970,6
138,1295,10
279,1260,13
202,956,6
129,779,1
201,957,6
105,616,14
172,1021,1
154,261,15
41,39,7
17,597,9
308,1851,10
324,979,5
250,1166,13
282,1258,13
227,1845,9
99,105,9
277,1324,2
221,61,7
59,212,5
137,1840,8
190,1310,10
115,604,14
10,1813,2
301,1375,11
20,55,4
107,649,2
42,545,2
169,898,8
217,540,5
20,58,4
45,1301,11
11,1812,2
283,1091,8
297,1834,10
72,1267,10
76,1269,10
113,602,14
304,1196,2
117,251,4
171,1073,8
191,727,12
83,1841,7
97,1016,4
175,287,3
276,1328,2
327,1880,10
158,282,15
22,549,2
135,1293,10
204,247,2
282,1261,13
174,1145,5
162,1003,8
198,973,6
214,332,2
129,780,1
75,1267,10
151,907,8
62,211,5
333,750,7
137,1294,10
131,782,1
308,494,7
276,1326,2
309,1217,2
208,971,6
170,278,3
148,264,15
213,1125,1
110,605,14
116,602,14
111,608,14
200,956,6
251,868,4
66,722,9
184,289,3
153,265,15
67,1279,10
19,55,4
81,1842,7
328,1713,9
260,524,4
9,1817,2
205,966,6
153,264,15
8,1812,2
242,1150,13
16,758,2
111,658,1
239,1160,13
167,273,3
239,1358,11
42,40,7
294,1833,10
309,1216,2
155,262,15
191,1311,10
129,783,1
213,1126,1
168,274,3
68,929,8
41,118,7
146,264,15
58,87,7
189,290,3
177,838,12
111,619,14
284,1444,11
242,1151,13
326,1052,4
108,1794,9
69,743,12
166,400,1
61,1120,6
67,1277,10
154,254,15
188,1310,10
157,504,8
215,332,2
184,46,9
43,1297,11
144,477,8
104,613,14
104,617,14
231,1119,8
332,750,7
42,120,7
163,286,15
39,1297,11
153,281,15
140,1297,10
116,250,4
154,263,15
76,703,2
106,618,14
154,256,15
301,1376,11
69,1278,10
154,281,15
248,1853,9
243,1151,13
300,1375,11
10,1819,2
135,1297,10
331,750,7
223,1173,13
9,1348,9
244,1270,12
175,283,3
226,1196,9
181,288,3
199,953,6
201,521,9
182,48,9
27,520,12
303,992,5
171,278,3
327,1219,8
222,824,5
115,251,4
255,66,1
285,1443,11
98,1182,4
291,338,7
172,1072,8
39,1299,11
151,267,15
225,684,12
9,1819,2
128,781,1
200,520,9
308,1848,10
256,71,1
11,1818,2
329,470,7
167,278,3
137,1295,10
82,1250,12
279,1000,12
152,257,15
207,428,4
82,1251,12
9,1813,2
298,195,2
167,399,1
15,598,9
269,13,7
60,213,5
171,1145,5
151,260,15
98,1017,4
226,1195,9
83,910,8
161,278,3
176,213,1
149,1838,8
305,993,5
272,117,4
45,1298,11
54,1863,9
285,552,7
315,1010,5
298,1832,10
168,898,8
275,397,8
189,729,12
95,361,8
146,262,15
125,555,9
147,267,15
305,992,5
190,954,6
66,447,4
165,278,3
204,963,6
253,1165,13
130,783,1
249,721,4
85,157,8
101,106,9
203,965,6
231,1356,11
236,1356,11
147,1837,8
153,279,15
47,932,4
309,1218,2
235,550,5
188,1311,10
81,1253,12
302,1196,2
203,1054,8
198,976,6
316,1011,5
68,536,12
147,264,15
47,935,4
262,558,7
66,1278,10
60,210,5
50,1891,9
8,1701,11
166,272,3
188,289,3
164,1002,8
261,560,7
327,1218,8
180,286,3
274,1327,2
82,911,8
67,757,12
101,1202,13
44,935,4
98,1015,4
61,1741,8
107,619,14
163,287,15
178,284,3
200,522,9
253,786,5
294,1832,10
283,552,7
220,1261,12
234,547,5
315,1012,5
196,973,6
253,1163,13
183,462,2
43,1300,11
280,1260,13
197,951,6
286,1442,11
112,608,14
294,78,2
298,1833,10
260,407,12
168,896,8
126,558,9
84,910,8
312,1254,9
296,1373,11
177,210,1
157,283,15
110,657,1
301,1373,11
178,209,1
303,995,5
61,1121,6
8,1348,9
198,972,6
117,606,14
195,972,6
136,1297,10
86,157,8
278,1260,13
96,1018,4
254,1162,13
235,1357,11
253,1171,13
7,1701,11
290,338,7
165,276,3
210,972,6
118,604,14
278,1327,2
106,649,2
307,495,7
117,605,14
300,814,9
307,1849,10
332,983,5
116,600,14
297,194,2
70,1278,10
172,1019,1
10,769,1
23,549,2
212,1128,1
306,1147,12
109,602,14
167,282,3
61,213,5
71,1277,10
152,267,15
26,520,12
118,602,14
163,280,3
116,252,4
206,429,4
182,46,9
165,286,15
297,1375,11
40,322,7
9,1347,9
340,1182,8
108,619,14
148,265,15
270,13,7
285,565,7
109,615,14
178,211,1
252,868,4
302,1197,2
203,963,6
130,517,8
115,600,14
117,250,4
175,1020,1
276,1325,2
174,1020,1
174,1030,6
256,69,1
174,1019,1
225,1174,13
163,285,15
175,286,3
227,1171,13
175,837,12
248,221,7
149,265,15
68,744,12
74,1267,10
243,289,9
296,81,2
257,71,1
161,284,15
329,216,9
113,605,14
220,1174,13
249,722,4
182,461,2
281,1260,13
162,284,15
296,78,2
41,1298,11
101,105,9
312,1253,9
232,1354,11
99,1204,13
176,1026,6
17,595,9
294,1371,11
294,80,2
247,1164,13
108,655,1
152,260,15
99,104,9
44,933,4
107,650,2
259,69,1
189,355,2
58,123,7
42,118,7
41,545,2
10,1815,2
138,1297,10
332,986,5
66,1276,10
242,951,4
158,505,8
169,289,15
256,73,1
69,744,12
61,210,5
305,1076,8
268,1786,10
108,815,2
64,1121,6
204,966,6
290,444,7
283,1258,13
295,79,2
184,288,3
184,48,9
198,953,6
291,323,4
205,247,2
221,823,5
108,604,14
241,1154,13
225,67,7
173,1031,6
168,272,3
306,1848,10
194,954,6
254,1172,13
224,1172,13
159,282,15
148,268,15
157,258,15
209,971,6
231,1817,8
197,977,6
202,950,6
99,1179,4
171,279,3
64,723,9
151,262,15
19,59,4
293,81,2
73,264,8
222,1175,13
69,537,12
190,728,12
106,612,14
108,606,14
171,1022,1
178,288,3
82,1252,12
234,548,5
83,1253,12
8,767,1
326,979,5
8,1346,9
309,1850,10
64,721,9
300,1376,11
81,1251,12
230,1118,8
171,292,15
256,72,1
215,333,2
169,278,3
275,1328,2
204,965,6
151,256,15
309,1720,9
221,825,5
295,1372,11
97,1179,4
110,617,14
325,979,5
166,281,3
157,850,12
136,1293,10
118,601,14
65,720,9
27,521,12
84,911,8
165,279,3
329,1055,4
73,236,8
114,606,14
250,1170,13
245,1272,12
303,993,5
11,1817,2
168,277,3
221,1237,12
26,1257,10
242,953,4
107,613,14
271,118,4
110,621,14
162,279,3
18,55,4
279,999,12
171,1030,6
268,689,12
255,70,1
139,1293,10
60,1741,8
153,256,15
304,1076,8
190,355,2
260,405,12
172,1148,5
169,896,8
184,461,2
47,171,5
235,1358,11
192,954,6
69,1869,7
129,782,1
313,1012,5
15,594,9
255,1170,13
10,1811,2
260,67,1
227,1174,13
186,292,3
307,1149,12
234,551,5
144,1048,5
189,727,12
109,621,14
183,1346,11
108,817,2
46,933,4
59,214,5
235,547,5
65,1279,10
46,934,4
65,1276,10
294,1372,11
322,1016,5
294,79,2
52,1845,4
201,951,6
289,443,7
263,558,7
68,743,12
8,1700,11
328,1714,9
115,606,14
233,550,5
296,1374,11
167,289,15
6,770,1
117,603,14
181,290,3
229,1118,8
167,276,3
145,1050,5
295,1374,11
304,1149,12
41,119,7
250,722,4
249,1256,12
251,788,5
161,285,15
191,729,12
188,291,3
63,1123,6
230,1356,11
269,1788,10
152,262,15
105,618,14
15,888,8
65,722,9
84,912,8
221,1259,12
45,1299,11
68,538,12
169,279,3
202,1053,8
320,1016,5
172,71,7
10,1814,2
238,1161,13
184,293,3
247,1149,13
39,1296,11
196,951,6
197,952,6
198,954,6
240,1159,13
325,1879,10
177,212,1
27,519,12
328,470,7
136,1840,8
16,889,8
323,979,5
247,1165,13
61,214,5
284,773,9
258,68,1
51,1845,4
148,1838,8
257,73,1
150,261,15
176,836,12
174,1021,1
298,1836,10
17,598,9
182,1344,11
210,24,9
275,1327,2
130,778,1
305,1847,10
200,951,6
267,688,12
180,1343,11
151,266,15
87,741,12
14,595,9
66,448,4
205,355,2
237,1356,11
168,283,3
168,279,3
235,548,5
169,275,3
171,1147,5
257,67,1
105,816,2
68,448,4
182,1345,11
225,1843,9
320,1018,5
289,1442,11
11,1819,2
285,1444,11
304,1077,8
180,285,3
65,1277,10
110,607,14
230,1357,11
100,1204,13
67,723,9
192,955,6
71,1278,10
15,759,2
136,1841,8
305,1848,10
145,239,12
174,1147,5
220,60,7
326,1055,4
40,94,7
114,607,14
277,1328,2
225,65,7
144,1050,5
259,522,4
8,770,1
165,399,1
155,281,15
100,1180,4
71,235,8
201,950,6
150,908,8
181,1345,11
293,1372,11
165,400,1
187,290,3
100,106,9
209,972,6
104,612,14
260,68,1
72,235,8
222,1172,13
243,1195,9
117,598,14
243,952,4
253,1164,13
187,291,3
81,1840,7
175,838,12
60,1740,8
223,825,5
126,556,9
162,276,3
164,1003,8
287,1443,11
17,596,9
176,287,3
198,971,6
143,238,12
113,600,14
226,999,8
227,1173,13
105,613,14
135,1296,10
113,604,14
164,277,3
249,723,4
104,615,14
229,1355,11
163,277,3
179,286,3
224,67,7
307,494,7
226,1172,13
256,66,1
233,548,5
265,689,12
167,279,3
159,506,8
109,656,1
330,984,5
176,286,3
206,246,2
172,291,15
108,616,14
304,1147,12
290,443,7
221,1235,12
108,1793,9
94,361,8
58,88,7
173,1146,5
221,1261,12
299,813,9
173,1021,1
106,816,2
227,997,8
277,1327,2
260,73,1
223,1237,12
295,1834,10
108,657,1
167,898,8
51,1891,9
214,334,2
154,262,15
212,970,6
303,1197,2
164,275,3
242,952,4
306,994,5
197,953,6
15,758,2
10,770,1
16,888,8
198,975,6
178,289,3
119,606,14
176,282,3
98,1018,4
160,283,15
232,1357,11
106,619,14
198,957,6
174,1146,5
163,1003,8
252,1169,13
53,1862,9
201,520,9
250,1258,12
163,1004,8
188,292,3
44,1300,11
210,973,6
266,1786,10
225,998,8
213,1127,1
286,1444,11
108,612,14
110,616,14
249,1166,13
187,289,3
250,1855,9
44,1298,11
183,47,9
42,1297,11
152,255,15
30,1257,10
310,1721,9
252,788,5
107,603,14
254,1171,13
183,1344,11
327,472,7
253,787,5
223,1845,9
73,1268,10
231,1354,11
183,291,3
111,601,14
117,604,14
110,620,14
42,119,7
156,257,15
321,1015,5
11,1811,2
230,1816,8
180,212,1
212,25,9
242,1160,13
325,1877,10
300,813,9
84,157,8
164,280,3
113,606,14
175,1026,6
252,1164,13
7,769,1
113,608,14
289,323,4
288,1443,11
28,1257,10
161,286,15
108,605,14
65,721,9
244,290,9
39,325,7
73,1267,10
185,289,3
298,812,9
243,1150,13
115,603,14
204,354,2
210,968,6
152,253,15
107,621,14
176,211,1
160,284,15
103,614,14
284,552,7
44,1297,11
67,756,12
67,446,4
201,1054,8
167,272,3
112,604,14
265,690,12
143,240,12
169,274,3
145,266,15
171,290,15
109,657,1
250,1171,13
184,292,3
110,618,14
40,324,7
224,1845,9
10,1812,2
69,1868,7
100,1181,4
166,280,3
176,283,3
188,355,2
154,259,15
145,477,8
313,1011,5
330,214,9
248,1164,13
192,956,6
60,212,5
167,281,3
178,283,3
225,685,12
222,823,5
7,767,1
67,744,12
62,1742,8
229,1356,11
76,1268,10
109,614,14
224,684,12
239,1162,13
210,25,9
226,1845,9
196,975,6
164,288,15
173,1145,5
233,1357,11
171,291,15
327,1713,9
275,396,8
284,1091,8
29,1259,10
27,1257,10
279,1257,13
38,1298,11
260,72,1
59,124,7
212,1127,1
44,932,4
47,933,4
233,547,5
46,170,5
283,1260,13
329,214,9
278,1325,2
290,321,4
109,608,14
140,1294,10
252,1172,13
151,264,15
341,1181,8
225,1196,9
225,1171,13
249,1165,13
111,606,14
108,816,2
153,262,15
223,1844,9
223,1843,9
112,606,14
110,658,1
224,1843,9
110,608,14
267,1787,10
104,616,14
254,1164,13
151,257,15
106,616,14
273,1009,2
68,1276,10
213,969,6
164,1004,8
268,1787,10
166,274,3
68,757,12
111,622,14
204,246,2
274,1325,2
250,1259,12
110,603,14
47,172,5
66,756,12
112,603,14
183,287,3
8,1818,2
185,292,3
81,1252,12
222,1235,12
115,601,14
250,721,4
258,523,4
95,360,8
233,1356,11
250,867,4
208,968,6
156,260,15
108,617,14
167,275,3
116,251,4
59,1740,8
175,836,12
246,1167,13
73,235,8
305,1147,12
329,1054,4
150,268,15
151,908,8
261,558,7
248,1151,13
205,964,6
137,1841,8
145,478,8
274,1324,2
156,258,15
112,607,14
110,655,1
187,975,4
234,1355,11
157,281,15
211,1127,1
67,537,12
85,155,8
241,1161,13
40,39,7
50,1846,4
324,1878,10
115,250,4
83,1251,12
6,769,1
168,281,3
177,211,1
260,70,1
252,1259,12
257,66,1
310,1218,2
243,1271,12
294,1834,10
244,1150,13
266,1788,10
82,1842,7
169,272,3
241,1152,13
97,1017,4
84,156,8
67,719,9
209,24,9
7,1700,11
180,1344,11
283,1259,13
109,609,14
125,556,9
202,1054,8
205,246,2
8,1816,2
211,1125,1
224,65,7
181,286,3
171,1021,1
311,1254,9
127,783,1
325,977,5
245,1152,13
235,1354,11
175,1018,1
62,1741,8
69,1276,10
150,257,15
9,767,1
173,1071,8
109,605,14
108,607,14
163,278,3
304,1078,8
176,210,1
271,14,7
332,749,7
98,1181,4
319,168,2
244,1151,13
182,287,3
201,956,6
6,1699,11
160,285,15
221,826,5
100,105,9
169,273,3
313,1422,11
188,976,4
326,1877,10
127,781,1
64,1120,6
291,444,7
223,824,5
59,87,7
155,255,15
281,1259,13
212,971,6
30,1259,10
173,1148,5
223,685,12
6,1701,11
151,259,15
243,1153,13
287,1444,11
59,123,7
249,1164,13
7,768,1
250,723,4
277,1326,2
151,261,15
174,284,3
125,557,9
107,816,2
204,969,6
82,1840,7
111,655,1
166,277,3
328,471,7
45,935,4
198,955,6
111,605,14
308,495,7
221,1236,12
249,1258,12
98,1206,13
26,1259,10
105,648,2
69,745,12
189,354,2
308,1847,10
269,1789,10
237,1357,11
18,58,4
182,463,2
8,1814,2
195,977,6
177,836,12
192,953,6
224,66,7
119,604,14
240,1356,11
189,975,4
50,1890,9
225,1195,9
109,607,14
203,964,6
326,1053,4
156,280,15
290,339,7
326,1878,10
40,326,7
278,1259,13
212,1126,1
194,955,6
206,427,4
226,65,7
311,1253,9
252,1258,12
285,773,9
189,1311,10
260,69,1
44,174,5
252,786,5
106,815,2
243,1270,12
62,213,5
229,1120,8
61,211,5
112,621,14
319,167,2
9,1815,2
296,1836,10
209,970,6
